Found 100 hits.
1. Solar eclipse of February 26, 2017.txt: 	 score=0.57168293
64. Solar eclipse of September 21, 1903.txt: 	 score=0.17639905
65. Solar eclipse of May 9, 1910.txt: 	 score=0.17639905
66. Solar eclipse of August 24, 2082.txt: 	 score=0.17639905
67. Solar eclipse of May 21, 2031.txt: 	 score=0.17639905
68. Solar eclipse of May 29, 1938.txt: 	 score=0.17639905
69. Solar eclipse of May 22, 2077.txt: 	 score=0.17639905
70. Solar eclipse of May 11, 2059.txt: 	 score=0.17639905
71. Solar eclipse of October 1, 1921.txt: 	 score=0.17639905
72. Solar eclipse of June 2, 2095.txt: 	 score=0.17639905
73. Solar eclipse of September 12, 1950.txt: 	 score=0.17639905
74. Solar eclipse of June 11, 2086.txt: 	 score=0.17639905
75. Solar eclipse of May 11, 2097.txt: 	 score=0.17639905
76. Solar eclipse of April 16, 1874.txt: 	 score=0.17604789
77. Solar eclipse of February 9, 1766.txt: 	 score=0.17604789
78. List of solar eclipses in the 21st century.txt: 	 score=0.17603752
79. Solar eclipse of March 7, 1598.txt: 	 score=0.17390034
80. Solar eclipse of May 22, 1724.txt: 	 score=0.17390034
81. Solar eclipse of July 1, 2011.txt: 	 score=0.17390034
82. Solar eclipse of April 8, 2005.txt: 	 score=0.17352283
83. Solar eclipse of September 22, 2006.txt: 	 score=0.1724916
84. Solar eclipse of January 16, 2075.txt: 	 score=0.17144677
85. Solar eclipse of January 27, 2093.txt: 	 score=0.17144677
86. Solar eclipse of June 8, 1937.txt: 	 score=0.1713911
87. Solar eclipse of January 4, 1992.txt: 	 score=0.1713911
88. Solar eclipse of July 13, 2018.txt: 	 score=0.16987666
89. Solar eclipse of September 23, 2090.txt: 	 score=0.16974007
90. Solar eclipse of August 24, 2063.txt: 	 score=0.16974007
91. Solar eclipse of June 1, 2011.txt: 	 score=0.16974007
92. Solar eclipse of July 9, 1945.txt: 	 score=0.16839704
93. Solar eclipse of January 4, 2011.txt: 	 score=0.16839704
94. Solar eclipse of August 29, 1886.txt: 	 score=0.16803408
95. Solar eclipse of January 14, 1907.txt: 	 score=0.1674969
96. Solar eclipse of March 18, 1988.txt: 	 score=0.1674969
97. Solar eclipse of June 29, 1927.txt: 	 score=0.1674969
98. Solar eclipse of July 8, 1842.txt: 	 score=0.16736704
99. Solar eclipse of May 20, 2050.txt: 	 score=0.16731656
100. Solar eclipse of August 12, 1654.txt: 	 score=0.16723959
